,Name,Genus,Species,Tested_for_Alkaloids,Alkaloids,Ref_Alks,Antimalarial_Use,Ref_H_Mal,History_Fever,Ref_H_Fever,Activity_Antimalarial,Ref_Activity,Family,Accepted_Name,Accepted_Species,Accepted_Species_ID,Accepted_ID,Accepted_Rank
562,Wrightia pubescens subsp. laniti (Blanco) Ngan,Wrightia,pubescens subsp. laniti (Blanco) Ngan,Yes,Yes,201,,,,,,,Apocynaceae,Wrightia pubescens subsp. laniti,Wrightia pubescens,82875-1,60452495-2,Subspecies
563,Wrightia pubescens subsp. penicillata (F. M. Bailey) Ngan,Wrightia,pubescens subsp. penicillata (F. M. Bailey) Ngan,Yes,Yes,144,,,,,,,Apocynaceae,Wrightia pubescens subsp. penicillata,Wrightia pubescens,82875-1,60452497-2,Subspecies
564,Wrightia pubescens subsp. pubescens,Wrightia,pubescens subsp. pubescens,,,,Yes,"L, R [273]",,,,,Apocynaceae,Wrightia pubescens subsp. pubescens,Wrightia pubescens,82875-1,150353-3,Subspecies
565,Wrightia tinctoria (Roxb.) R. Br.,Wrightia,tinctoria (Roxb.) R. Br.,Yes,Yes,"KN, 144",,,Yes,[79],Inactive,164,Apocynaceae,Wrightia tinctoria,Wrightia tinctoria,82890-1,82890-1,Species
566,Xysmalobium undulatum (L.) W. T. Aiton.,Xysmalobium,undulatum (L.) W. T. Aiton.,,,,,,,,Active,100,Apocynaceae,Xysmalobium undulatum,Xysmalobium undulatum,103155-1,103155-1,Species
0,Adina cordifolia (Roxb.) Brandis,Adina,cordifolia (Roxb.) Brandis,Yes,Yes,2,,,,,,,Rubiaceae,Adina cordifolia,Adina cordifolia,742903-1,742903-1,Species
1,Adina eurhyncha (Miq.) Å. Krüger & Löfstrand,Adina,eurhyncha (Miq.) Å. Krüger & Löfstrand,Yes,Yes,1,,,,,,,Rubiaceae,Adina eurhyncha,Adina eurhyncha,77142551-1,77142551-1,Species
2,Adina multifolia Havil.,Adina,multifolia Havil.,Yes,Yes,39,,,,,,,Rubiaceae,Adina multifolia,Adina multifolia,742920-1,742920-1,Species
3,Adina pilulifera (Lam.) Franch. ex Drake,Adina,pilulifera (Lam.) Franch. ex Drake,Yes,Yes,39,,,,,,,Rubiaceae,Adina pilulifera,Adina pilulifera,742927-1,742927-1,Species
4,Adina rubella Hance,Adina,rubella Hance,Yes,Yes,3,,,,,,,Rubiaceae,Adina rubella,Adina rubella,742932-1,742932-1,Species
5,Adina trichotoma (Zoll. & Moritzi) Benth. & Hook. f. ex B. D. Jacks.,Adina,trichotoma (Zoll. & Moritzi) Benth. & Hook. f. ex B. D. Jacks.,Yes,Yes,39,,,,,,,Rubiaceae,Adina trichotoma,Adina trichotoma,742939-1,742939-1,Species
6,Adolphoduckea maynensis (Poepp. & Endl.) Paudyal & Delprete,Adolphoduckea,maynensis (Poepp. & Endl.) Paudyal & Delprete,,,,Yes,209,,,,,Rubiaceae,Adolphoduckea maynensis,Adolphoduckea maynensis,77187928-1,77187928-1,Species
7,Agathisanthemum bojeri Klotzsch,Agathisanthemum,bojeri Klotzsch,,,,Yes,5,,,Inactive,5,Rubiaceae,Agathisanthemum bojeri,Agathisanthemum bojeri,742948-1,742948-1,Species
8,Agathisanthemum globosum (Hochst. ex A. Rich.) Klotzsch,Agathisanthemum,globosum (Hochst. ex A. Rich.) Klotzsch,,,,Yes,6,,,,,Rubiaceae,Agathisanthemum globosum,Agathisanthemum globosum,742950-1,742950-1,Species
9,Alibertia dwyeri Delprete & C. H. Perss.,Alibertia,dwyeri Delprete & C. H. Perss.,Yes,No,68,,,,,,,Rubiaceae,Alibertia dwyeri,Alibertia dwyeri,77116167-1,77116167-1,Species
10,Alibertia edulis (Rich.) A. Rich. ex DC.,Alibertia,edulis (Rich.) A. Rich. ex DC.,Yes,Yes,7/68,Yes,209,,,,,Rubiaceae,Alibertia edulis,Alibertia edulis,743001-1,743001-1,Species
11,Alibertia latifolia (Benth.) K.Schum.,Alibertia,latifolia (Benth.) K.Schum.,,,,Yes,209,,,,,Rubiaceae,Alibertia latifolia,Alibertia latifolia,8399-2,8399-2,Species
12,Alseis blackiana Hemsl.,Alseis,blackiana Hemsl.,Yes,Yes,68,,,,,,,Rubiaceae,Alseis blackiana,Alseis blackiana,743041-1,743041-1,Species
13,Amaioua glomerulata (Lam. ex Poir.) Delprete & C. H. Perss.,Amaioua,glomerulata (Lam. ex Poir.) Delprete & C. H. Perss.,Yes,Yes,68,,,,,Inactive,158,Rubiaceae,Amaioua glomerulata,Amaioua glomerulata,77124830-1,77124830-1,Species
14,Amaioua guianensis Aubl.,Amaioua,guianensis Aubl.,Yes,Yes,8,,,,,,,Rubiaceae,Amaioua guianensis,Amaioua guianensis,743074-1,743074-1,Species
15,Amaioua magnicarpa Dwyer,Amaioua,magnicarpa Dwyer,Yes,Yes,68,,,,,,,Rubiaceae,Amaioua magnicarpa,Amaioua magnicarpa,10564-2,10564-2,Species
16,Amaioua pedicellata Dwyer,Amaioua,pedicellata Dwyer,Yes,Yes,68,,,,,,,Rubiaceae,Amaioua pedicellata,Amaioua pedicellata,10566-2,10566-2,Species
17,Anthospermum emirnense Bak.,Anthospermum,emirnense Bak.,,,,Yes,65,,,,,Rubiaceae,Anthospermum emirnense,Anthospermum emirnense,743370-1,743370-1,Species
18,Anthospermum perrieri Homolle ex Puff,Anthospermum,perrieri Homolle ex Puff,,,,,,,,,,Rubiaceae,Anthospermum perrieri,Anthospermum perrieri,930436-1,930436-1,Species
19,Antirhea putaminosa (F. Muell.) F. Muell.,Antirhea,putaminosa (F. Muell.) F. Muell.,Yes,Yes,10,,,,,,,Rubiaceae,Guettardella putaminosa,Guettardella putaminosa,752116-1,752116-1,Species
20,Aoranthe cladantha (K. Schum.) Somers,Aoranthe,cladantha (K. Schum.) Somers,,,,Yes,143,,,Inactive,143,Rubiaceae,Aoranthe cladantha,Aoranthe cladantha,945441-1,945441-1,Species
21,Arachnothryx bertieroides (Standl.) Borhidi,Arachnothryx,bertieroides (Standl.) Borhidi,Yes,Yes,68,,,,,,,Rubiaceae,Arachnothryx bertieroides,Arachnothryx bertieroides,17333-2,17333-2,Species
22,Arachnothryx buddleioides (Brenth.) Planch.,Arachnothryx,buddleioides (Brenth.) Planch.,Yes,Yes,68,,,,,,,Rubiaceae,Arachnothryx buddleioides,Arachnothryx buddleioides,743548-1,743548-1,Species
23,Arachnothryx chiriquiana (Lorence) Borhidi,Arachnothryx,chiriquiana (Lorence) Borhidi,Yes,No,68,,,,,,,Rubiaceae,Arachnothryx chiriquiana,Arachnothryx chiriquiana,1008768-1,1008768-1,Species
24,Arachnothryx secunda (Standl.) Borhidi,Arachnothryx,secunda (Standl.) Borhidi,Yes,Yes,68,,,,,,,Rubiaceae,Arachnothryx secunda,Arachnothryx secunda,17383-2,17383-2,Species
25,Arcytophyllum lavarum K. Schum. ex Standl.,Arcytophyllum,lavarum K. Schum. ex Standl.,Yes,Yes,68,,,,,,,Rubiaceae,Arcytophyllum lavarum,Arcytophyllum lavarum,743605-1,743605-1,Species
26,Argostemma yappii King,Argostemma,yappii King,Yes,Yes,12,,,,,,,Rubiaceae,Argostemma yappii,Argostemma yappii,743844-1,743844-1,Species
27,Asperula nitida subsp. subcapitellata Ehrend.,Asperula,nitida subsp. subcapitellata Ehrend.,,,,,,,,Active,13,Rubiaceae,Asperula nitida subsp. subcapitellata,Asperula nitida,744095-1,890146-1,Subspecies
28,Augusta longifolia (Spreng.) Rehder,Augusta,longifolia (Spreng.) Rehder,Yes,No,268,,,,,,,Rubiaceae,Augusta longifolia,Augusta longifolia,1098401-2,1098401-2,Species
29,Bathysa australis (A. St.-Hil.) K. Schum.,Bathysa,australis (A. St.-Hil.) K. Schum.,Yes,Yes,16,Yes,209,,,,,Rubiaceae,Bathysa australis,Bathysa australis,744363-1,744363-1,Species
30,Bertiera borbonica A. Rich. ex DC.,Bertiera,borbonica A. Rich. ex DC.,,,,,,,,Inactive,17,Rubiaceae,Bertiera borbonica,Bertiera borbonica,744422-1,744422-1,Species
31,Bertiera bracteosa (Donn. Sm.) B. Ståhl & L. Andersson,Bertiera,bracteosa (Donn. Sm.) B. Ståhl & L. Andersson,Yes,Yes,68,,,,,,,Rubiaceae,Bertiera bracteosa,Bertiera bracteosa,1014064-1,1014064-1,Species
32,Bertiera guianensis Aubl.,Bertiera,guianensis Aubl.,Yes,Yes,68,,,,,,,Rubiaceae,Bertiera guianensis,Bertiera guianensis,744444-1,744444-1,Species
33,Bothriospora corymbosa (Benth.) Hook. f.,Bothriospora,corymbosa (Benth.) Hook. f.,Yes,Yes,200,,,,,,,Rubiaceae,Bothriospora corymbosa,Bothriospora corymbosa,745007-1,745007-1,Species
34,Bouvardia ternifolia (Val.) Schltdl.,Bouvardia,ternifolia (Val.) Schltdl.,Yes,Yes,201,,,,,,,Rubiaceae,Bouvardia ternifolia,Bouvardia ternifolia,745109-1,745109-1,Species
35,Breonadia salicina (Vahl) Hepper & J. R. I. Wood,Breonadia,salicina (Vahl) Hepper & J. R. I. Wood,Yes,Yes,39,Yes,65,,,,,Rubiaceae,Breonadia salicina,Breonadia salicina,910167-1,910167-1,Species
36,Breonia perrieri Homolle,Breonia,perrieri Homolle,Yes,Yes,39,,,,,,,Rubiaceae,Breonia perrieri,Breonia perrieri,745154-1,745154-1,Species
37,Breonia sphaerantha (Baill.) Homolle ex Ridsdale,Breonia,sphaerantha (Baill.) Homolle ex Ridsdale,Yes,Yes,39,,,,,,,Rubiaceae,Breonia sphaerantha,Breonia sphaerantha,745156-1,745156-1,Species
38,Burchellia bubalina (L.F.) Sims,Burchellia,bubalina (L.F.) Sims,,,,,,,,Inactive,190,Rubiaceae,Burchellia bubalina,Burchellia bubalina,745198-1,745198-1,Species
39,Calycophyllum candidissimum (Vahl) DC.,Calycophyllum,candidissimum (Vahl) DC.,Yes,Yes,68,,,,,,,Rubiaceae,Calycophyllum candidissimum,Calycophyllum candidissimum,745241-1,745241-1,Species
40,Calycophyllum megistocaulum (K.Krause) C.M.Taylor,Calycophyllum,megistocaulum (K.Krause) C.M.Taylor,,,,Yes,209,,,,,Rubiaceae,Calycophyllum megistocaulum,Calycophyllum megistocaulum,969466-1,969466-1,Species
41,Calycophyllum multiflorum Griseb.,Calycophyllum,multiflorum Griseb.,,,,Yes,209,,,Inactive,31,Rubiaceae,Calycophyllum multiflorum,Calycophyllum multiflorum,43051-2,43051-2,Species
42,Calycophyllum spruceanum (Benth.) Hook. f. ex K. Schum.,Calycophyllum,spruceanum (Benth.) Hook. f. ex K. Schum.,,,,Yes,209,,,,,Rubiaceae,Calycophyllum spruceanum,Calycophyllum spruceanum,745249-1,745249-1,Species
43,Canthium coromandelicum (Burm. f.) Alston,Canthium,coromandelicum (Burm. f.) Alston,Yes,Yes,28,,,,,,,Rubiaceae,Canthium coromandelicum,Canthium coromandelicum,745378-1,745378-1,Species
44,Canthium glaucum Hiern,Canthium,glaucum Hiern,Yes,Yes,20,Yes,6,,,Active,20,Rubiaceae,Canthium glaucum,Canthium glaucum,745437-1,745437-1,Species
45,Capirona macrophylla (poepp.) Delprete,Capirona,macrophylla (poepp.) Delprete,,,,Yes,"31, 209",,,Inactive,31,Rubiaceae,Capirona macrophylla,Capirona macrophylla,77210192-1,77210192-1,Species
46,Carapichea affinis (Standl.) L. Andersson,Carapichea,affinis (Standl.) L. Andersson,Yes,Yes,33,,,,,Active,KN/264,Rubiaceae,Carapichea affinis,Carapichea affinis,1214821-2,1214821-2,Species
47,Carapichea ipecacuanha (Brot.) L. Andersson,Carapichea,ipecacuanha (Brot.) L. Andersson,Yes,Yes,32,Yes,"165, 209",,,Active,KN/264,Rubiaceae,Carapichea ipecacuanha,Carapichea ipecacuanha,1214950-2,1214950-2,Species
48,Carapichea klugii (Standl.) C. M. Taylor,Carapichea,klugii (Standl.) C. M. Taylor,Yes,Yes,72,,,,,"Active [188, 264]","188, KN/264",Rubiaceae,Carapichea klugii,Carapichea klugii,77132654-1,77132654-1,Species
49,Catunaregam nilotica (Stapf) Tirveng.,Catunaregam,nilotica (Stapf) Tirveng.,Yes,Yes,183,Yes,184,,,,,Rubiaceae,Catunaregam nilotica,Catunaregam nilotica,745903-1,745903-1,Species
50,Catunaregam spinosa (Thunb.) Tirveng.,Catunaregam,spinosa (Thunb.) Tirveng.,Yes,Yes,34,,,,,,,Rubiaceae,Catunaregam spinosa,Catunaregam spinosa,745904-1,745904-1,Species
51,Catunaregam tomentosa (Blume ex DC.) Tirveng.,Catunaregam,tomentosa (Blume ex DC.) Tirveng.,Yes,Yes,36,,,,,,,Rubiaceae,Catunaregam tomentosa,Catunaregam tomentosa,745905-1,745905-1,Species
52,Cephalanthus glabratus (Spreng.) K. Schum.,Cephalanthus,glabratus (Spreng.) K. Schum.,Yes,Yes,37/38,,,,,,,Rubiaceae,Cephalanthus glabratus,Cephalanthus glabratus,52091-2,52091-2,Species
53,Cephalanthus natalensis Oliv.,Cephalanthus,natalensis Oliv.,Yes,Yes,39,,,,,Inactive,190,Rubiaceae,Cephalanthus natalensis,Cephalanthus natalensis,746216-1,746216-1,Species
54,Cephalanthus occidentalis L.,Cephalanthus,occidentalis L.,Yes,Yes,37/38,,,,,,,Rubiaceae,Cephalanthus occidentalis,Cephalanthus occidentalis,319140-2,319140-2,Species
55,Cephalanthus salicifolius Humb. & Bonpl.,Cephalanthus,salicifolius Humb. & Bonpl.,Yes,Yes,39,,,,,,,Rubiaceae,Cephalanthus salicifolius,Cephalanthus salicifolius,746233-1,746233-1,Species
56,Cephalanthus tetrandra (Roxb.) Ridsdale & Bakh. f.,Cephalanthus,tetrandra (Roxb.) Ridsdale & Bakh. f.,Yes,Yes,39,,,,,,,Rubiaceae,Cephalanthus tetrandra,Cephalanthus tetrandra,746238-1,746238-1,Species
57,Chassalia curviflora (Wall.) Thwaites,Chassalia,curviflora (Wall.) Thwaites,Yes,Yes,40,,,,,,,Rubiaceae,Chassalia curviflora,Chassalia curviflora,746289-1,746289-1,Species
58,Chassalia kolly (Schumach.) Hepper,Chassalia,kolly (Schumach.) Hepper,Yes,Yes,41,,,,,,,Rubiaceae,Chassalia kolly,Chassalia kolly,746368-1,746368-1,Species
59,Chassalia umbraticola Vatke,Chassalia,umbraticola Vatke,,,,Yes,205,,,,,Rubiaceae,Chassalia umbraticola,Chassalia umbraticola,746327-1,746327-1,Species
60,Chimarrhis cymosa Jacq.,Chimarrhis,cymosa Jacq.,Yes,Yes,43,,,,,,,Rubiaceae,Chimarrhis cymosa,Chimarrhis cymosa,318431-2,318431-2,Species
61,Chimarrhis hookeri K.Schum.,Chimarrhis,hookeri K.Schum.,,,,Yes,209,,,,,Rubiaceae,Chimarrhis hookeri,Chimarrhis hookeri,56522-2,56522-2,Species
62,Chimarrhis parviflora Standl.,Chimarrhis,parviflora Standl.,Yes,Yes,68,,,,,,,Rubiaceae,Chimarrhis parviflora,Chimarrhis parviflora,56528-2,56528-2,Species
63,Chimarrhis turbinata DC.,Chimarrhis,turbinata DC.,Yes,Yes,42,Yes,209/210,,,Inactive,210,Rubiaceae,Chimarrhis turbinata,Chimarrhis turbinata,308173-2,308173-2,Species
64,Chiococca alba (L.) Hitchc.,Chiococca,alba (L.) Hitchc.,Yes,Yes,44,Yes,209,,,,,Rubiaceae,Chiococca alba,Chiococca alba,56535-2,56535-2,Species
65,Chiococca belizensis Lundell,Chiococca,belizensis Lundell,Yes,No,68,,,,,,,Rubiaceae,Chiococca belizensis,Chiococca belizensis,56544-2,56544-2,Species
66,Chiococca phaenostemon Schltdl.,Chiococca,phaenostemon Schltdl.,Yes,No,68,,,,,,,Rubiaceae,Chiococca phaenostemon,Chiococca phaenostemon,746483-1,746483-1,Species
67,Chione venosa (Sw.) Urb.,Chione,venosa (Sw.) Urb.,Yes,Yes,211,,,,,,,Rubiaceae,Chione venosa,Chione venosa,56650-2,56650-2,Species
68,Ciliosemina pedunculata (H. Karst.) Antonelli,Ciliosemina,pedunculata (H. Karst.) Antonelli,Yes,Yes,102/212,Yes,"18, 209",Yes,,Active,18,Rubiaceae,Ciliosemina pedunculata,Ciliosemina pedunculata,77065717-1,77065717-1,Species
69,Ciliosemina purdieana (Wedd.) Antonelli,Ciliosemina,purdieana (Wedd.) Antonelli,Yes,Yes,213,Yes,209,,,,,Rubiaceae,Ciliosemina purdieana,Ciliosemina purdieana,77065718-1,77065718-1,Species
70,Cinchona barbacoensis H. Karst.,Cinchona,barbacoensis H. Karst.,,,,Yes,209,,,,,Rubiaceae,Cinchona barbacoensis,Cinchona barbacoensis,746708-1,746708-1,Species
71,Cinchona calisaya Wedd.,Cinchona,calisaya Wedd.,Yes,Yes,"102, 262",Yes,14/65,Yes,14,Active,,Rubiaceae,Cinchona calisaya,Cinchona calisaya,746718-1,746718-1,Species
72,Cinchona glandulifera,Cinchona,glandulifera,Yes,Yes,263,,,,,,,Rubiaceae,Cinchona glandulifera,Cinchona glandulifera,746776-1,746776-1,Species
73,Cinchona hirsuta Ruiz & Pav.,Cinchona,hirsuta Ruiz & Pav.,,,,Yes,209,,,,,Rubiaceae,Cinchona hirsuta,Cinchona hirsuta,746793-1,746793-1,Species
74,Cinchona lancifolia Mutis,Cinchona,lancifolia Mutis,Yes,Yes,262,Yes,209,,,Active,,Rubiaceae,Cinchona lancifolia,Cinchona lancifolia,746806-1,746806-1,Species
75,Cinchona lucumifolia Pav. ex Lindl.,Cinchona,lucumifolia Pav. ex Lindl.,,,,Yes,209,,,,,Rubiaceae,Cinchona lucumifolia,Cinchona lucumifolia,746816-1,746816-1,Species
76,Cinchona macrocalyx Pav. ex DC.,Cinchona,macrocalyx Pav. ex DC.,Yes,Yes,262,Yes,209,,,Active,,Rubiaceae,Cinchona macrocalyx,Cinchona macrocalyx,746820-1,746820-1,Species
77,Cinchona micrantha,Cinchona,micrantha,Yes,Yes,262,,,,,Active,,Rubiaceae,Cinchona micrantha,Cinchona micrantha,746828-1,746828-1,Species
78,Cinchona mutisii Lamb.,Cinchona,mutisii Lamb.,,,,Yes,209,,,,,Rubiaceae,Cinchona mutisii,Cinchona mutisii,746834-1,746834-1,Species
79,Cinchona nitida,Cinchona,nitida,Yes,Yes,262,,,,,Active,,Rubiaceae,Cinchona nitida,Cinchona nitida,746837-1,746837-1,Species
80,Cinchona officinalis L.,Cinchona,officinalis L.,Yes,Yes,KN,Yes,65/ 76,,,Active,210,Rubiaceae,Cinchona officinalis,Cinchona officinalis,58723-2,58723-2,Species
81,Cinchona parabolica,Cinchona,parabolica,Yes,Yes,263,,,,,,,Rubiaceae,Cinchona parabolica,Cinchona parabolica,746855-1,746855-1,Species
82,Cinchona pitayensis (Wedd.) Wedd.,Cinchona,pitayensis (Wedd.) Wedd.,Yes,Yes,262,Yes,209,,,Active,,Rubiaceae,Cinchona pitayensis,Cinchona pitayensis,746868-1,746868-1,Species
83,Cinchona pubescens Vahl,Cinchona,pubescens Vahl,Yes,Yes,"KN, 68",Yes,65/181,Yes,181,Active,191,Rubiaceae,Cinchona pubescens,Cinchona pubescens,746872-1,746872-1,Species
84,Cinchona villosa,Cinchona,villosa,Yes,Yes,262,,,,,Active,,Rubiaceae,Cinchona villosa,Cinchona villosa,746925-1,746925-1,Species
85,Coccocypselum guianense (Aubl.) K. Schum.,Coccocypselum,guianense (Aubl.) K. Schum.,Yes,Yes,68,,,,,,,Rubiaceae,Coccocypselum guianense,Coccocypselum guianense,61955-2,61955-2,Species
86,Coccocypselum herbaceum P. Browne ex Aubl.,Coccocypselum,herbaceum P. Browne ex Aubl.,Yes,Yes,68,,,,,,,Rubiaceae,Coccocypselum herbaceum,Coccocypselum herbaceum,746962-1,746962-1,Species
87,Coccocypselum hirsutum Bartl. ex DC.,Coccocypselum,hirsutum Bartl. ex DC.,Yes,Yes,68,,,,,,,Rubiaceae,Coccocypselum hirsutum,Coccocypselum hirsutum,746963-1,746963-1,Species
88,Coccocypselum hispidulum (Standl.) Standl.,Coccocypselum,hispidulum (Standl.) Standl.,Yes,Yes,68,,,,,,,Rubiaceae,Coccocypselum hispidulum,Coccocypselum hispidulum,61961-2,61961-2,Species
89,Coelospermum balansanum Baill.,Coelospermum,balansanum Baill.,Yes,Yes,214,,,,,,,Rubiaceae,Coelospermum balansanum,Coelospermum balansanum,747006-1,747006-1,Species
90,Coffea arabica L.,Coffea,arabica L.,Yes,Yes,"KN, 47",Yes,209,Yes,14,Inactive,45,Rubiaceae,Coffea arabica,Coffea arabica,747038-1,747038-1,Species
91,Coffea benghalensis B. Heyne ex Roth,Coffea,benghalensis B. Heyne ex Roth,Yes,Yes,46,,,,,,,Rubiaceae,Coffea benghalensis,Coffea benghalensis,747048-1,747048-1,Species
92,Coffea canephora Pierre ex A. Froehner,Coffea,canephora Pierre ex A. Froehner,Yes,Yes,"KN, 48",Yes,203,,,,,Rubiaceae,Coffea canephora,Coffea canephora,747068-1,747068-1,Species
93,Coffea eugenioides S.Moore,Coffea,eugenioides S.Moore,Yes,Yes,KN,,,,,,,Rubiaceae,Coffea eugenioides,Coffea eugenioides,747109-1,747109-1,Species
94,Coffea kianjavatensis J.-F. Leroy,Coffea,kianjavatensis J.-F. Leroy,Yes,Yes,49,,,,,,,Rubiaceae,Coffea kianjavatensis,Coffea kianjavatensis,747150-1,747150-1,Species
95,Coffea liberica W.Bull,Coffea,liberica W.Bull,Yes,Yes,KN,,,,,,,Rubiaceae,Coffea liberica,Coffea liberica,747169-1,747169-1,Species
96,Coffea liberica var. dewevrei (De. Wild. & T. Durand) Lebrun,Coffea,liberica var. dewevrei (De. Wild. & T. Durand) Lebrun,Yes,Yes,50,,,,,,,Rubiaceae,Coffea liberica var. dewevrei,Coffea liberica,747169-1,77189827-1,Variety
97,Coffea mauritiana Lam.,Coffea,mauritiana Lam.,,,,,,,,Inactive,17,Rubiaceae,Coffea mauritiana,Coffea mauritiana,747190-1,747190-1,Species
98,Coffea racemosa Lour.,Coffea,racemosa Lour.,Yes,Yes,KN,,,,,,,Rubiaceae,Coffea racemosa,Coffea racemosa,747242-1,747242-1,Species
99,Coffea salvatrix Swynn. & Philipson`,Coffea,salvatrix Swynn. & Philipson`,Yes,Yes,KN,,,,,,,Rubiaceae,Coffea salvatrix,Coffea salvatrix,747254-1,747254-1,Species
100,Condaminea corymbosa (Ruiz & Pav.) DC.,Condaminea,corymbosa (Ruiz & Pav.) DC.,Yes,Yes,68,,,,,,,Rubiaceae,Condaminea corymbosa,Condaminea corymbosa,1010049-2,1010049-2,Species
101,Coptosapelta tomentosa (Blume) Valeton ex K.Heyne,Coptosapelta,tomentosa (Blume) Valeton ex K.Heyne,Yes,Yes,215,,,,,,,Rubiaceae,Coptosapelta tomentosa,Coptosapelta tomentosa,747553-1,747553-1,Species
102,Coptosperma graveolens (S. Moore) Degreef,Coptosperma,graveolens (S. Moore) Degreef,,,,Yes,177,,,Inactive,177,Rubiaceae,Coptosperma graveolens,Coptosperma graveolens,20009937-1,20009937-1,Species
103,Cordiera sessilis (Vell.) Kuntze,Cordiera,sessilis (Vell.) Kuntze,Yes,Yes,51,,,,,,,Rubiaceae,Cordiera sessilis,Cordiera sessilis,65657-2,65657-2,Species
104,Corynanthe johimbe K. Schum.,Corynanthe,johimbe K. Schum.,Yes,Yes,102,,,,,,,Rubiaceae,Corynanthe johimbe,Corynanthe johimbe,747599-1,747599-1,Species
105,Corynanthe pachyceras K. Schum.,Corynanthe,pachyceras K. Schum.,Yes,Yes,52,,,,,Inactive,52,Rubiaceae,Corynanthe pachyceras,Corynanthe pachyceras,747604-1,747604-1,Species
106,Cosmibuena grandiflora (Ruiz & Pav.) Rusby,Cosmibuena,grandiflora (Ruiz & Pav.) Rusby,Yes,Yes,68,Yes,"109, 209",,,,,Rubiaceae,Cosmibuena grandiflora,Cosmibuena grandiflora,66725-2,66725-2,Species
107,Cosmibuena valerii (Standl.) C. M. Taylor,Cosmibuena,valerii (Standl.) C. M. Taylor,Yes,Yes,68,,,,,,,Rubiaceae,Cosmibuena valerii,Cosmibuena valerii,964800-1,964800-1,Species
108,Coussarea macrophylla (Mart.) Müll.Arg.,Coussarea,macrophylla (Mart.) Müll.Arg.,,,,,,,,,,Rubiaceae,Coussarea macrophylla,Coussarea macrophylla,747706-1,747706-1,Species
109,Coussarea suaveolens (Duchass. ex Griseb.) C. M. Taylor,Coussarea,suaveolens (Duchass. ex Griseb.) C. M. Taylor,,,,,,,,Inactive,158,Rubiaceae,Coussarea suaveolens,Coussarea suaveolens,77211683-1,77211683-1,Species
110,Coutarea hexandra (Jacq.) K. Schum,Coutarea,hexandra (Jacq.) K. Schum,Yes,Yes,68,Yes,"14, 209",Yes,14,,,Rubiaceae,Coutarea hexandra,Coutarea hexandra,67491-2,67491-2,Species
111,Craterispermum laurinum (Poir.) Benth.,Craterispermum,laurinum (Poir.) Benth.,Yes,Yes,57,Yes,56/62,,,,,Rubiaceae,Craterispermum laurinum,Craterispermum laurinum,747810-1,747810-1,Species
112,Cremaspora triflora (Thonn.) K.Schum.,Cremaspora,triflora (Thonn.) K.Schum.,Yes,Yes,216,,,,,,,Rubiaceae,Cremaspora triflora,Cremaspora triflora,747837-1,747837-1,Species
113,Crossopteryx febrifuga (Afzel. ex G. Don) Benth.,Crossopteryx,febrifuga (Afzel. ex G. Don) Benth.,Yes,Yes,59,Yes,59/62/135,,,Active [59],30/59,Rubiaceae,Crossopteryx febrifuga,Crossopteryx febrifuga,747858-1,747858-1,Species
114,Cuviera longiflora Hiern,Cuviera,longiflora Hiern,,,,,,,,Inactive,182,Rubiaceae,Cuviera longiflora,Cuviera longiflora,748070-1,748070-1,Species
115,Danais breviflora Bak.,Danais,breviflora Bak.,,,,Yes,65,,,,,Rubiaceae,Danais breviflora,Danais breviflora,748127-1,748127-1,Species
116,Danais cernua Bak.,Danais,cernua Bak.,,,,Yes,65,,,,,Rubiaceae,Danais cernua,Danais cernua,748129-1,748129-1,Species
117,Danais fragrans Gaertn.,Danais,fragrans Gaertn.,,,,Yes,65,,,,,Rubiaceae,Danais fragrans,Danais fragrans,748144-1,748144-1,Species
118,Danais verticillata Bak.,Danais,verticillata Bak.,,,,Yes,65,,,,,Rubiaceae,Danais verticillata,Danais verticillata,748175-1,748175-1,Species
119,Danais xanthorrhoea (K. Schum.) Bremek,Danais,xanthorrhoea (K. Schum.) Bremek,,,,,,,,Inactive,66,Rubiaceae,Danais xanthorrhoea,Danais xanthorrhoea,748178-1,748178-1,Species
120,Deppea blumenaviensis (K. Schum.) Lorence,Deppea,blumenaviensis (K. Schum.) Lorence,Yes,Yes,67,,,,,,,Rubiaceae,Deppea blumenaviensis,Deppea blumenaviensis,984883-1,984883-1,Species
121,Deppea grandiflora Schltdl.,Deppea,grandiflora Schltdl.,Yes,Yes,68,,,,,,,Rubiaceae,Deppea grandiflora,Deppea grandiflora,748310-1,748310-1,Species
122,Dimetia capitellata (Wall. ex G. Don) Neupane & N. Wikstr.,Dimetia,capitellata (Wall. ex G. Don) Neupane & N. Wikstr.,Yes,Yes,100,,,,,,,Rubiaceae,Dimetia capitellata,Dimetia capitellata,77147276-1,77147276-1,Species
123,Dioicodendron dioicum (K. Schum. & K. Krause) Steyerm.,Dioicodendron,dioicum (K. Schum. & K. Krause) Steyerm.,,,,Yes,209,,,,,Rubiaceae,Dioicodendron dioicum,Dioicodendron dioicum,80624-2,80624-2,Species
124,Diplospora dubia (Lindl.) Masa.,Diplospora,dubia (Lindl.) Masa.,Yes,Yes,174,,,,,,,Rubiaceae,Diplospora dubia,Diplospora dubia,748497-1,748497-1,Species
